Group,Duration,Members,Notable singles,Platinum-certified albums[13]
Generation 2,"Taeyeon
Sunny
Tiffany
Hyoyeon
Yuri
Sooyoung
Yoona
Seohyun
Jessica (former)


Girls' Generation-TTS
Girls' Generation-Oh!GG"
Generation 2,"""Into the New World"" (2007)
""Girls' Generation"" (2007)
""Kissing You"" (2008)
""Gee"" (2009)[c]
""Genie"" (2009)[c]
""Oh!"" (2010)[d]
""Run Devil Run"" (2010)[a][c]
""Hoot"" (2010)[a]
""Mr. Taxi"" (2011)[e]
""The Boys"" (2011)[a]
""Paparazzi"" (2012)[c]
""All My Love is for You"" (2012)[f]
""Flower Power"" (2012)[c]
""Dancing Queen"" (2012)[a]
""I Got a Boy"" (2013)[a]
""Love & Girls"" (2013)[c]
""Galaxy Supernova"" (2013)[c]
""Mr.Mr."" (2014)[a]
""Catch Me If You Can"" (2015)[c]
""Party"" (2015)[a]
""Lion Heart"" (2015)[b]
""Forever 1"" (2022)[b]"
Generation 2,The Boys (2011)
Generation 2,Kara
Generation 2,"2007–15
2022–23"
Generation 2,"Gyuri
Seungyeon
Nicole
Jiyoung
Youngji
Sunghee (former)
Hara (former)"
Generation 2,"""Pretty Girl"" (2008)
""Honey"" (2009)
""Wanna"" (2009)
""Mister"" (2009)[c]
""Lupin"" (2010)[a]
""Jumping"" (2010)[b]
""Jet Coaster Love"" (2011)[f]
""Go Go Summer!"" (2011)[c]
""Step"" (2011)[b]
""Winter Magic"" (2011)[c]
""Pandora"" (2012)[b]
""Runaway"" (2013)[b]
""Damaged Lady"" (2013)[b]
""Mamma Mia!"" (2014)[b]
""Summer☆Gic"" (2015)[c]
""Sunshine Miracle"" (2015)[c]
""Sunny Days"" (2015)[c]"
Generation 2,Step (2011)
Generation 2,Miss A
Generation 2,"2010–13
2015"
Generation 2,"Min
Jia
Suzy
Fei"
Generation 2,"""Bad Girl Good Girl"" (2010)[a]
""Breathe"" (2010)[b]
""Love Alone"" (2011)[b]
""Good-bye Baby"" (2011)[a]
""Touch"" (2012)[b]
""I Don't Need a Man"" (2012)[b]
""Hush"" (2013)[b]
""Only You"" (2015)[a]"
Generation 2,A Class (2011)
Generation 2,Secret
Generation 2,2009–14
Generation 2,"Hyoseong
Hana
Sunhwa
Jieun"
Generation 2,"""Magic"" (2010)[b]
""Madonna"" (2010)[a]
""Shy Boy"" (2011)[b]
""Starlight Moonlight"" (2011)[b]
""Love Is Move"" (2011)[b]
""Poison"" (2012)[b]
""Talk That"" (2012)[b]
""Yoohoo"" (2013)[b]"
Generation 2,Moving in Secret (2011)[10]
Generation 2,Sistar
Generation 2,2010–17
Generation 2,"Hyolyn
Bora
Dasom
Soyou

Sistar19"
Generation 2,"""Push Push"" (2010)[b]
""Shady Girl"" (2010)[b]
""How Dare You"" (2010)[b]
""So Cool"" (2011)[a]
""Alone"" (2012)[a]
""Loving U"" (2012)[a]
""Give It to Me"" (2013)[a]
""Touch My Body"" (2014)[a]
""I Swear"" (2014)[a]
""Shake It"" (2015)[a]
""I Like That"" (2016)[a]
""Lonely"" (2017)[a]"
Generation 2,So Cool (2011)[11]
Generation 2,T-ara
Generation 2,"2009–17
2020–22"
Generation 2,"Jiyeon
Qri
EunJung
Hyomin
Boram (former)
Soyeon (former)
Hwayoung (former)
Areum (former)


T-ara N4
QBS"
